id,isPlace,key,value,page,name:en,plural:en,name:am,plural:am,name:de,plural:de
51,FALSE,shop,optician,opticians,Optician,Opticians,መነፅር ቤት,መነፅር ቤቶች,Optiker,Optiker
52,FALSE,shop,hairdresser,hairdressers,Hairdresser,Hairdressers,ፀጉር ቤት,ፀጉር ቤቶች,Frisör,Frisöre
53,FALSE,shop,doityourself,diy-shops,Doityourself,Doityourself Stores,,,Baumarkt,Baumärkte
54,FALSE,shop,dry_cleaning,dry-cleaners,Dry Cleaner,Dry Cleaners,ደረቅ እጥበት,ደረቅ እጥበቶች,Reinigung,Reinigung
55,FALSE,shop,laundry,laundries,Laundry,Laundries,የልብስ ንጽህና መስጫ,የልብስ ንጽህና መስጫዎች,Waschsalon,Waschsalons
56,FALSE,shop,electronics,electronics,Electronics,Electronic Stores,ኤሌክትሮኒክስ መሸጫ ሱቅ,ኤሌክትሮኒክስ መሸጫ ሱቆች,Elektronikhandel,Elektronikhandel
57,FALSE,shop,florist,buy-flowers,Florist,Florists,የአበባ መሸጫ,የአበባ መሸጫዎች ,Florist,Floristen
58,FALSE,shop,hardware,hardware,Hardware,Hardware Stores,ሲኒማ ቤት,ሲኒማ ቤቶች,Baumarkt,Baumärkte
59,FALSE,shop,computer,computer-shops,computer,Computer Shops,ኮምፒውተር,ኮምፒውተር መሸጫዎች ,Computerladen,Computerläden
60,FALSE,shop,books,book-shops,Books,Book Shops,መፃሕፍት መሸጫ,መፃሕፍት መሸጫዎች ,Buchhandel,Buchhändler
61,FALSE,shop,stationery,stationaries,Stationary,Stationaries,የጽሕፈት መሳሪያ መሸጫ,የጽሕፈት መሳሪያ መሸጫዎች ,Schreibwaren,Schreibwarenläden
62,FALSE,shop,video,rent-a-video,Video,Video Stores,ቪዲዮ,ቪዲዮ ሱቆች  ,Videothek,Videotheken
63,TRUE,leisure,stadium,stadiums,Stadium,Stadiums,ስታዲዩም,ስታዲየሞች ,Stadion,Stadien
64,FALSE,leisure,golf_course,golf-courses,Golf Course,Golf Courses,የጎልፍ መጫወቻ,የጎልፍ መጫወቻዎች,Golfplatz,Golfplätze
65,FALSE,leisure,garden,gardens,Garden,Gardens,መናፈሻ,መናፈሻዎች,Garten,Gärten
66,FALSE,sport,football,football-fields,Football,Football Fields,እግር ኳስ,እግር ኳስ,Fußball,Fußball
